                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6669,                 5.0163,                 4.6302,                0.00044,                0.12162,                 0.0003,                  9e-05,                 2.9795,                 4.7676,                 4.1589,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.1822,                 4.7615,                 4.4115,                0.00043,                0.12162,                0.00081,                0.00018,                 2.9808,                 4.7693,                 4.1586,             0.00017822,             0.00017822,             0.00017822
                      3,                 3.4256,                  4.604,                 4.4064,                0.00048,                0.13514,                0.00032,                 0.0001,                 2.9822,                 4.7694,                 4.1587,             0.00027446,             0.00027446,             0.00027446
                      4,                 3.4779,                 4.4826,                 4.2076,                0.00048,                0.13514,                0.00029,                  8e-05,                 2.9843,                 4.7658,                 4.1591,             0.00036871,             0.00036871,             0.00036871
                      5,                 3.4619,                 4.3869,                 4.2623,                0.00029,                0.08108,                0.00017,                  6e-05,                  2.988,                 4.7524,                 4.1611,             0.00046099,             0.00046099,             0.00046099
                      6,                 3.1609,                 4.0797,                 4.1365,                0.00034,                0.09459,                 0.0002,                  7e-05,                 2.9904,                 4.7364,                 4.1638,             0.00055129,             0.00055129,             0.00055129
                      7,                  3.275,                 4.2598,                 3.9818,                0.00034,                0.09459,                0.00022,                  7e-05,                 2.9967,                 4.7136,                 4.1721,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.4225,                 3.9742,                 3.8917,                0.00034,                0.09459,                0.00019,                  6e-05,                 3.0026,                 4.6667,                 4.1802,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.1135,                 3.9244,                 3.7539,                0.00019,                0.05405,                0.00011,                  4e-05,                 3.0005,                 4.5408,                 4.1903,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.9898,                 3.6615,                 3.5977,                0.00014,                0.04054,                  8e-05,                  3e-05,                 3.0006,                 4.5173,                 4.2001,             0.00089268,             0.00089268,             0.00089268
                     11,                 2.9075,                 3.5092,                 3.4732,                0.00024,                0.06757,                0.00016,                  4e-05,                 3.0293,                 4.4763,                 4.2407,             0.00097308,             0.00097308,             0.00097308
                     12,                  2.951,                 3.4304,                  3.425,                0.00019,                0.05405,                0.00013,                  3e-05,                 3.0648,                 4.4709,                  4.277,              0.0010515,              0.0010515,              0.0010515
                     13,                 2.8173,                 3.2644,                 3.3219,                0.00019,                0.05405,                0.00011,                  3e-05,                 3.0727,                 4.4773,                 4.2837,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.6122,                 3.3894,                 3.1993,                0.00024,                0.06757,                0.00014,                  5e-05,                 3.0807,                 4.4894,                 4.2849,              0.0012024,              0.0012024,              0.0012024
